"VNUM","Sub-feature","small crater?","NB","W*_T from","d [km]","h [km]","H [km]","W* [km]","C [dimless]","ave. ei [dimless]","T [dimless]","sv"
211003,0,,,0,17.700,0.325,0.350,26.850,0.590,,0.330,
211004,0,,,0,10.500,0.204,0.650,20.250,0.650,,0.259,
211004,1,,,0,3.750,0.367,0.167,4.375,0.500,,0.429,
211004,1,,,0,2.950,0.265,0.070,2.475,0.410,,0.596,
211020,0,1,4,1,0.500,0.265,1.110,4.375,0.670,1.220,0.333,7
211030,0,0,4,1,,,0.750,3.875,,2.100,0.106,7
211040,0,0,4,1,0.350,0.075,0.890,1.900,0.370,1.520,0.193,2
211041,0,0,4,1,,,0.400,1.085,,1.880,0.179,0
211042,0,0,4,1,,,0.580,3.605,,1.770,0.341,10
211050,1,0,4,1,,,0.480,2.530,,2.070,0.762,6
211050,0,,,0,2.675,0.100,1.750,12.338,0.660,,0.108,
211050,0,,1,0,3.600,0.175,1.525,12.300,0.600,,0.146,
211060,0,0,1,1,0.500,0.100,3.080,12.050,0.690,1.620,0.029,16
211071,0,0,4,1,,,0.820,5.150,0.640,1.880,0.438,9
212030,0,0,4,1,,,0.730,4.490,,2.330,0.193,14
212040,0,,,0,10.500,0.600,0.700,15.250,0.320,,0.344,
212050,0,0,4,1,3.740,0.290,0.680,3.600,0.760,1.530,0.519,0
213002,0,0,4,1,,,2.110,6.850,,2.150,0.308,10
213010,0,0,4,1,,,2.430,8.950,,2.080,0.021,44
213011,0,0,1,1,,,0.950,14.700,,2.510,0.210,27
213020,0,0,4,1,7.740,0.530,1.470,6.950,0.530,,0.558,5
213030,0,0,4,1,1.160,0.270,1.220,8.000,,1.760,0.122,4
213040,0,0,4,1,,,3.430,10.050,,1.650,0.105,14
214010,0,0,4,1,,,2.050,4.150,,1.690,0.219,4
214020,0,0,1,1,,,4.030,13.500,,3.870,0.273,54
214060,0,0,4,1,,,2.460,15.800,,2.350,0.070,21
221010,0,0,4,1,,,0.220,1.320,,1.310,0.616,0
221020,1,0,4,1,,,0.180,2.105,,3.440,0.481,6
221021,0,0,4,1,,,0.600,5.650,,2.090,0.152,21
221022,0,0,4,1,,,0.390,4.745,,3.920,0.327,22
221030,0,0,1,1,,,0.710,4.790,,2.920,0.280,19
221040,0,0,4,1,2.300,0.100,0.780,2.850,0.450,1.770,0.700,8
221050,0,1,4,1,,,0.360,1.585,,1.410,0.347,0
221071,0,0,4,1,,,0.580,3.440,,1.580,0.051,6
221080,0,1,1,1,1.150,0.050,0.380,4.950,0.190,2.030,0.125,3
221090,0,1,4,1,0.600,0.100,0.920,3.645,0.330,1.260,0.203,0
221091,0,0,1,1,,,0.320,2.530,,1.450,0.425,3
221100,0,0,4,1,,,0.780,2.100,,1.860,0.396,0
221101,0,0,4,1,6.940,0.340,1.520,8.100,0.530,,0.428,14
221102,0,0,4,1,5.490,0.380,0.720,4.345,0.650,,0.632,2
221103,0,0,4,1,1.160,0.130,0.930,2.410,0.640,1.150,0.240,0
221104,0,0,4,1,,,1.220,7.700,,1.820,0.213,13
221105,0,0,1,1,3.020,0.360,0.410,3.930,0.620,,0.383,0
221107,0,1,4,1,,,0.840,2.505,,1.340,0.226,0
221110,0,0,4,1,,,1.110,4.765,,1.720,0.333,2
221111,0,0,4,1,2.380,0.230,1.180,5.700,0.490,1.450,0.477,5
221112,0,1,4,1,,,1.110,9.300,,1.650,0.208,6
221113,0,0,4,1,,,0.990,7.450,,1.590,0.240,10
221115,0,0,1,1,,,0.120,1.925,,1.350,0.362,0
221120,0,0,1,1,,,0.220,3.520,,1.220,0.164,0
221123,0,0,4,1,,,1.530,6.450,,2.370,0.336,15
221141,0,0,4,1,2.060,0.250,0.640,5.800,0.690,1.270,0.380,7
221150,0,0,4,1,,,0.870,3.505,,1.770,0.078,5
221151,0,0,4,1,,,0.840,3.980,,2.140,0.300,5
221160,0,0,4,1,,,1.490,3.965,,1.360,0.068,2
221170,0,0,4,1,3.740,0.470,0.730,4.665,0.520,1.570,0.401,2
221180,0,0,4,1,,,0.390,3.530,,1.920,0.341,16
221190,0,0,4,1,3.480,0.310,1.000,5.650,0.370,1.750,0.308,0
221200,0,,,0,6.200,0.190,0.315,10.750,0.470,,0.288,
221210,1,0,4,1,,,0.620,1.665,,1.680,0.094,0
221210,1,0,4,1,,,0.840,3.710,,1.640,0.185,0
221230,0,,1,0,8.500,0.160,0.280,9.250,0.460,,0.459,
221240,1,,,0,1.550,0.125,0.350,3.000,0.550,,0.258,
221270,0,0,4,1,,,0.690,5.800,,3.130,0.297,17
221280,0,,1,0,17.500,0.400,0.150,17.750,0.490,,0.493,
221290,0,,1,0,15.000,0.210,0.260,17.500,0.450,,0.429,
222020,0,0,4,1,,,0.410,3.445,,2.730,0.141,12
222021,0,0,1,1,,,1.080,22.200,,2.600,0.028,107
222030,0,0,1,0,3.220,0.125,0.600,9.110,0.620,1.830,0.177,24
222040,0,0,4,1,,,0.470,2.525,,1.700,0.356,4
222051,0,0,1,1,4.100,0.075,0.840,7.600,0.580,1.910,0.345,16
222052,0,0,1,1,6.170,0.340,0.700,7.800,0.420,1.480,0.396,8
222053,0,0,4,1,1.620,0.090,0.620,4.015,,1.980,0.201,3
222054,0,0,4,1,,,0.470,3.965,,2.050,0.544,14
222055,0,0,4,1,,,0.130,1.160,,1.960,0.471,2
222056,0,0,1,1,,,1.050,6.750,,2.090,0.146,29
222060,0,,1,0,10.000,0.150,0.200,12.500,0.410,,0.400,
222070,0,0,1,1,,,0.550,3.310,,1.680,0.240,4
222080,0,0,1,1,,,0.790,4.305,,2.040,0.117,11
222100,0,0,4,1,1.830,0.180,0.760,3.630,0.510,1.480,0.251,0
222110,0,0,4,1,5.300,0.380,0.790,8.150,0.420,1.270,0.325,8
222120,0,0,4,1,0.600,0.150,1.800,3.660,0.560,1.270,0.122,2
222160,0,0,4,1,0.206,0.047,2.890,8.550,0.470,2.180,0.023,11
222160,1,,1,0,2.700,0.150,0.400,6.350,0.500,,0.213,11
222164,0,,,0,3.250,0.375,1.000,9.525,0.540,,0.171,
222166,0,0,4,1,4.350,0.150,1.490,6.600,0.510,1.970,0.409,14
222170,0,1,4,1,1.000,0.035,0.670,2.800,0.550,1.440,0.365,3
223020,0,0,4,1,2.040,0.140,1.080,6.350,0.750,1.240,0.160,7
223030,0,0,4,1,1.240,0.220,1.680,5.450,0.740,1.660,0.156,11
223040,0,0,4,1,0.375,0.050,2.030,6.400,0.250,1.590,0.301,4
223050,0,1,4,1,,,1.040,1.840,,1.250,0.237,0
223060,0,0,4,1,,,1.690,2.725,,1.310,0.049,0
224002,0,0,4,1,5.350,0.770,2.260,11.200,0.680,,0.239,16
224003,0,0,4,1,1.400,0.130,2.010,9.850,0.680,1.440,0.154,12
224004,0,0,4,1,,,2.990,18.100,,2.130,0.193,39
224010,0,0,1,1,,,4.020,18.250,,2.050,0.247,29
225010,0,0,4,1,,,1.210,4.015,,1.400,0.046,2
225020,0,0,4,1,16.300,0.470,1.160,14.850,0.600,,0.550,58
225021,0,0,4,1,12.200,0.570,2.280,22.950,0.620,,0.265,31
225030,0,,1,0,8.000,0.750,1.750,30.000,0.500,,0.133,
232001,0,0,1,1,,,1.840,19.050,,3.170,0.265,230
232002,0,0,4,1,,,2.100,5.150,,2.560,0.347,8
232010,0,0,4,1,0.275,0.030,3.440,5.450,0.590,1.350,0.043,0
232030,0,0,4,1,,,1.680,5.600,,1.670,0.067,9
232050,0,0,4,1,,,1.530,4.865,,1.770,0.143,13
233001,0,0,4,1,,,1.070,10.250,,2.710,0.194,37
233010,0,0,4,1,2.740,0.350,2.350,13.850,0.380,1.740,0.138,12
233020,0,0,5,1,0.850,0.100,2.610,15.900,0.480,2.260,0.232,39
234001,0,0,4,1,1.175,0.100,0.850,4.090,0.450,1.160,0.601,3
234002,0,,1,0,1.600,0.307,1.250,15.800,0.750,,0.051,
234010,0,0,4,1,,,2.720,9.550,,1.750,0.210,10
234030,0,0,4,1,,,1.040,6.250,,3.240,0.737,24
234040,0,0,4,1,,,0.890,6.900,,2.770,0.399,26
234050,0,0,4,1,,,0.840,4.595,,1.730,0.189,7
234060,0,0,4,1,,,0.650,3.875,,1.790,0.239,11
234070,0,0,4,1,,,1.220,9.400,,2.560,0.120,27
241021,0,0,4,1,2.780,0.150,0.340,2.230,0.630,,0.625,0
241030,0,0,1,1,0.300,0.050,1.810,4.835,0.160,1.320,0.045,2
241040,0,0,4,1,,,0.290,1.160,0.500,2.520,0.187,1
241080,0,0,1,1,1.070,0.100,1.690,7.500,0.740,2.510,0.296,21
241100,0,0,4,1,,,1.720,7.950,0.480,1.790,0.133,10
242030,0,0,4,1,2.840,0.310,0.500,3.145,0.350,2.890,0.452,2
243060,0,,,0,5.300,0.500,2.100,15.650,0.630,,0.169,
243061,0,0,4,1,,,1.010,1.945,,1.480,0.096,0
243090,0,0,4,1,,,0.480,2.405,,1.590,0.074,0
243100,0,0,4,1,,,0.190,1.085,,1.720,0.343,2
243101,0,0,4,1,,,0.540,1.050,,1.480,0.119,0
243110,0,0,4,1,5.260,0.160,0.210,4.090,0.650,1.290,0.643,0
244001,0,0,4,1,,,0.940,3.700,,2.160,0.427,2
244030,0,0,4,1,,,1.140,19.100,,5.230,0.072,98
244040,0,0,4,1,,,1.850,22.950,,2.610,0.180,82
244050,0,1,4,1,,,0.150,4.790,,2.020,0.494,7
245010,0,0,4,1,,,1.200,10.650,,4.070,0.377,30
250010,0,0,4,1,,,0.220,2.460,,1.690,0.175,3
250020,0,0,4,1,0.860,0.070,0.250,2.170,,1.290,0.199,2
251001,0,1,4,1,,,0.380,1.440,,1.910,0.392,2
251010,0,0,4,1,,,0.630,1.560,,1.410,0.185,2
251020,0,0,4,1,,,1.750,5.150,,1.360,0.031,0
251030,0,0,4,1,5.460,0.410,1.810,11.350,,1.520,0.390,10
251050,0,0,4,1,11.900,0.360,1.270,11.350,0.540,1.600,0.525,17
251060,1,0,4,1,0.790,0.120,1.050,2.685,,1.940,0.295,2
251080,0,0,4,1,1.160,0.180,0.950,3.670,0.710,1.330,0.338,3
252010,0,0,4,1,,,1.610,4.175,,1.980,0.139,7
252030,0,,,0,5.750,0.300,1.775,12.875,0.720,,0.223,
252040,0,,,0,10.600,0.420,1.100,25.300,0.590,,0.209,
252050,0,0,4,1,,,1.070,2.145,,1.270,0.095,0
252070,0,0,4,1,,,0.970,4.845,,2.390,0.476,9
252071,0,0,4,1,,,0.780,2.285,,1.480,0.084,2
252080,0,,,0,7.000,0.150,0.200,10.500,0.500,,0.333,
252090,0,0,4,1,,,0.590,3.395,,2.160,0.560,6
252100,0,1,4,1,,,0.760,2.045,,1.240,0.214,0
252110,0,0,4,1,,,1.790,4.695,,1.440,0.053,4
252120,0,0,4,1,0.400,0.080,2.070,5.850,0.520,1.340,0.036,6
252140,0,,1,0,12.300,0.350,0.370,17.150,0.430,,0.359,
253010,0,0,1,1,1.200,0.550,1.140,4.560,0.520,1.820,0.159,29
253030,0,0,4,1,,,1.510,5.350,,1.770,0.187,13
254010,0,0,4,1,,,0.710,5.150,,5.850,0.418,20
254020,0,0,4,1,,,0.490,4.915,,1.790,0.733,28
255010,0,0,1,1,,,2.500,9.850,,2.130,0.134,27
255011,0,0,4,1,2.590,0.650,0.850,2.790,0.440,,0.465,2
255020,0,0,4,1,,,1.550,2.815,,1.260,0.057,2
255021,0,0,4,1,,,1.770,4.485,,2.480,0.355,8
255030,0,0,1,1,,,1.220,3.695,,1.730,0.059,11
255050,0,0,4,1,,,0.330,1.500,,2.740,0.600,4
255070,0,1,4,1,,,0.460,3.115,,1.570,0.353,12
256010,0,0,4,1,,,0.790,1.560,,1.330,0.141,0
257001,0,0,4,1,,,0.420,3.165,,3.820,0.229,6
257010,0,0,1,1,,,0.480,3.110,,1.890,0.221,8
257020,0,0,4,1,7.710,0.180,0.730,10.000,0.540,1.480,0.631,11
257021,0,0,4,1,0.720,0.150,1.000,2.330,0.420,1.170,0.336,0
257030,0,0,4,1,3.770,0.090,1.480,11.450,,1.960,0.301,30
257040,0,0,4,1,12.300,0.100,1.200,14.750,0.610,2.000,0.418,27
257050,0,1,4,1,,,1.320,3.045,,1.590,0.091,2
257081,1,1,4,1,,,0.420,1.570,,1.580,0.563,3
257081,1,0,4,1,,,0.590,2.715,,2.230,0.371,3
257090,0,0,4,1,,,0.820,2.880,,2.170,0.326,7
257110,0,0,4,1,,,0.810,7.050,,3.560,0.341,24
259010,1,,1,0,2.730,0.060,0.020,3.365,0.510,,0.406,
260001,0,0,4,1,,,0.690,1.585,,1.460,0.115,2
260010,0,0,4,1,1.750,0.160,0.350,1.565,,,0.558,0
261020,0,0,4,1,,,1.420,3.695,,1.700,0.190,2
261030,0,0,1,1,,,1.590,5.850,,3.160,0.030,15
261050,0,0,4,1,,,1.930,8.750,,2.120,0.177,35
261070,1,0,4,1,,,1.000,2.395,,2.290,0.289,4
261080,0,0,4,1,,,1.340,2.915,,1.250,0.081,0
261090,0,,,0,72.000,1.300,1.800,111.000,0.140,,0.324,
261110,0,0,4,1,,,1.050,5.450,,3.310,0.152,10
261111,0,0,4,1,,,1.210,3.930,,2.290,0.146,5
261120,0,1,4,1,0.600,0.150,1.400,3.490,0.650,2.130,0.413,5
261121,0,0,1,1,1.940,0.180,1.520,6.700,,2.100,0.145,14
261130,0,0,4,1,,,2.640,7.550,,1.760,0.057,8
261140,0,0,4,1,,,1.930,7.000,,1.460,0.245,8
261150,1,1,4,1,,,2.050,5.200,,1.520,0.101,4
261150,1,0,4,1,,,1.920,4.740,,1.690,0.153,4
261150,0,0,4,1,,,2.500,7.150,,1.960,0.349,4
261160,0,0,4,1,,,1.590,4.630,,2.020,0.211,5
261170,0,1,4,1,0.590,0.365,2.330,5.500,0.680,1.300,0.103,2
261180,0,0,4,1,,,1.220,2.985,,1.530,0.191,2
261210,0,1,4,1,,,2.010,6.650,,1.400,0.418,14
261220,0,0,4,1,0.920,0.090,1.200,6.150,0.590,1.580,0.317,5
261230,0,0,4,1,0.840,0.130,2.190,7.150,0.460,1.740,0.145,3
261251,1,1,4,1,,,1.310,3.605,,1.550,0.141,0
261251,0,,1,0,16.500,0.700,0.750,28.250,0.450,,0.292,
261260,0,,1,0,2.250,0.345,0.885,9.125,0.600,,0.123,
261290,0,1,4,1,0.600,0.118,1.260,5.750,0.480,1.870,0.231,5
262000,0,,1,0,8.500,0.400,0.200,11.750,0.300,,0.362,
263010,0,0,4,1,,,1.140,3.545,,1.390,0.073,4
263020,1,0,4,1,,,1.400,4.630,,1.610,0.199,3
263020,0,,,0,13.500,0.200,0.300,19.750,0.550,,0.342,
263050,0,0,4,1,,,1.620,4.600,,1.860,0.204,6
263060,1,0,4,1,,,2.420,10.250,,2.040,0.190,16
263070,0,0,1,1,,,1.060,4.295,,2.490,0.240,12
263090,1,0,4,1,1.360,0.190,1.000,3.720,,1.260,0.183,0
263090,0,,,0,7.500,0.250,1.250,21.750,0.430,,0.172,
263100,0,0,4,1,,,1.760,5.750,,2.650,0.149,7
263110,0,0,1,1,,,1.450,5.050,,3.210,0.056,4
263130,0,0,1,1,,,1.460,4.835,,2.750,0.203,8
263131,0,0,4,1,,,1.350,4.365,,1.370,0.036,1
263140,0,0,4,1,,,1.610,7.000,,3.210,0.124,15
263170,0,1,4,1,,,2.600,7.100,,1.420,0.085,6
263180,0,1,4,1,0.430,0.150,2.800,6.450,0.770,1.580,0.082,2
263210,0,0,4,1,,,1.780,3.970,,1.180,0.068,2
263220,0,1,4,1,,,2.200,5.450,,1.150,0.117,0
263230,0,1,4,1,,,1.610,5.200,,1.700,0.102,8
263231,0,0,4,1,,,1.400,4.850,,1.830,0.068,6
263240,0,0,4,1,,,2.150,5.200,,1.780,0.080,2
263250,0,0,4,1,,,1.800,3.965,,1.310,0.049,4
263251,0,0,4,1,,,1.390,9.400,,1.830,0.249,43
263260,0,0,4,1,,,2.650,7.050,,1.460,0.086,3
263270,0,0,1,1,,,2.280,15.250,,2.390,0.226,96
263280,0,0,4,1,1.750,0.400,1.220,6.950,0.550,1.830,0.162,28
263281,0,0,4,1,,,2.080,8.000,,1.900,0.281,15
263290,0,0,4,1,,,2.890,8.550,,2.040,0.172,10
263291,0,0,1,1,,,1.410,3.290,,1.380,0.063,4
263300,0,0,4,1,,,2.270,4.060,0.590,1.270,0.062,2
263310,0,,1,0,10.500,0.300,2.130,22.750,0.550,,0.231,
263320,0,1,4,1,0.335,0.162,1.070,2.600,0.660,1.400,0.208,3
263330,0,0,1,1,,,2.970,19.200,,1.880,0.238,146
263340,0,0,4,1,1.930,0.320,2.250,7.950,,2.100,0.307,13
263350,1,0,4,1,,,1.800,4.455,,1.570,0.137,5
263350,0,,,0,17.000,0.570,1.500,29.500,0.550,,0.288,
263351,0,0,4,1,,,1.190,4.305,,2.480,0.103,7
264001,0,,1,0,8.600,0.200,0.800,19.300,0.370,,0.223,
264010,0,,1,0,10.500,0.470,1.450,25.250,0.560,,0.208,
264020,0,0,4,1,0.760,0.190,2.270,4.890,0.520,1.780,0.173,0
264030,1,0,4,1,6.250,0.860,3.270,11.750,,,0.266,12
264030,0,,1,0,8.500,0.425,2.460,34.250,0.400,,0.124,
264040,0,0,4,1,6.840,1.120,2.660,17.000,0.630,1.490,0.277,34
264050,0,0,4,1,,,1.910,6.500,,2.020,0.214,4
264060,0,,,0,3.000,0.220,0.840,8.500,0.510,,0.176,
264080,0,0,4,1,0.220,0.153,1.590,2.530,0.340,1.150,0.115,0
264090,0,1,4,1,,,1.030,3.520,,3.220,0.291,12
264100,0,0,4,1,,,1.570,2.885,,1.200,0.066,0
264110,0,0,4,1,,,0.620,1.520,,1.360,0.235,0
264140,0,1,1,1,,,1.020,2.800,,2.640,0.242,2
264150,0,0,4,1,,,0.850,3.480,,1.720,0.108,4
264160,0,1,4,1,,,1.150,2.200,,1.570,0.293,2
264180,0,1,4,1,,,1.690,5.100,,2.050,0.298,3
264220,0,1,4,1,,,1.580,3.805,,1.350,0.177,0
264230,0,1,4,1,,,1.420,3.545,,1.270,0.156,3
264240,0,0,4,1,,,1.590,4.310,,1.550,0.102,2
264250,0,0,5,1,,,1.020,2.180,,2.010,0.079,5
264260,0,0,4,1,,,0.640,1.410,0.600,1.960,0.131,0
264270,0,0,4,1,1.750,0.200,1.320,4.470,0.560,2.150,0.595,8
265040,0,1,4,1,,,0.850,2.400,,2.120,0.286,3
265050,0,0,4,1,,,0.730,2.175,,1.890,0.155,5
265060,0,0,4,1,,,0.740,2.550,,1.540,0.077,3
265070,0,0,4,1,,,0.610,1.410,,2.030,0.128,2
266010,0,0,4,1,,,0.410,5.050,,1.620,0.312,13
266020,0,0,4,1,,,1.130,4.210,,3.000,0.587,21
266030,0,0,4,1,,,1.010,2.165,,1.390,0.195,2
266070,0,,1,0,23.000,0.300,1.000,46.500,0.160,,0.247,
266100,1,0,4,1,,,0.660,1.100,,1.190,0.259,0
266110,0,1,1,1,,,0.910,2.785,,1.810,0.272,2
266120,0,0,4,1,0.210,0.030,1.710,4.665,0.440,1.330,0.055,1
266130,1,0,4,1,1.940,0.220,1.060,2.950,,,0.329,2
267010,0,,1,0,0.325,0.150,0.915,10.163,0.730,,0.016,
267020,0,0,4,1,,,1.790,4.440,,1.500,0.075,3
267040,0,0,4,1,1.420,0.240,1.320,4.720,0.430,1.490,0.299,9
268010,0,0,1,1,,,1.200,8.400,,2.530,0.374,52
